experimental_perturbation	cas	verdict	term_id	chebi_name	reason_code	inchikey	identity_evidence	first_seen_batch	last_updated_batch
JNJ 17203212	821768-06-3	unverified			in_pubchem_not_in_chebi	JFRYYGVYCWYIDQ-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
JTC 801	244218-51-7	unverified			in_pubchem_not_in_chebi	NQLIYKXNAXKMBL-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
JTE 013	383150-41-2	verified	CHEBI:195541	JTE-013		RNSLRQNDXRSASX-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
JTE 907	282089-49-0	verified	CHEBI:93098	N-(1,3-benzodioxol-5-ylmethyl)-7-methoxy-2-oxo-8-pentoxy-1H-quinoline-3-carboxamide		GRAJFFFXJYFVOC-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
JX 401	349087-34-9	verified	CHEBI:92098	[2-methoxy-4-(methylthio)phenyl]-[4-(phenylmethyl)-1-piperidinyl]methanone		OMGLGPKQUFSRNN-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
K 858	72926-24-0	verified	CHEBI:94425	N-(4-acetyl-5-methyl-5-phenyl-1,3,4-thiadiazol-2-yl)acetamide		JEFVYQYZCAVNTP-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Kaempferol	520-18-3	verified	CHEBI:28499	kaempferol		IYRMWMYZSQPJKC-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
KB-R7943 mesylate	182004-65-5	verified	CHEBI:232494	KB-R7943		WGIKEBHIKKWJLG-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Kenpaullone	142273-20-9	verified	CHEBI:92658	kenpaullone		QQUXFYAWXPMDOE-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Ketanserin tartrate	83846-83-7	verified	CHEBI:183637	ketanserin tartrate		KMTLTEVOQLMYRS-LREBCSMRSA-N	name and CAS resolved independently to the same structure	1	2
Ketoconazole	65277-42-1	verified	CHEBI:47518	(2S,4R)-ketoconazole		XMAYWYJOQHXEEK-ZEQKJWHPSA-N	name and CAS resolved independently to the same structure	1	2
Ketotifen fumarate	34580-14-8	verified	CHEBI:31750	ketotifen fumarate		YNQQEYBLVYAWNX-WLHGVMLRSA-N	name and CAS resolved independently to the same structure	1	2
KF 38789	257292-29-8	unverified			identity_single_source_only	NHFIAAAMCYVRIW-UHFFFAOYSA-N	single_source	1	2
Ki 8751	228559-41-9	verified	CHEBI:92822	1-(2,4-difluorophenyl)-3-[4-[(6,7-dimethoxy-4-quinolinyl)oxy]-2-fluorophenyl]urea		LFKQSJNCVRGFCC-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
KINETIN RIBOSIDE	4338-47-0	verified	CHEBI:95050	(2R,3R,4S,5R)-2-[6-(2-furanylmethylamino)-9-purinyl]-5-(hydroxymethyl)oxolane-3,4-diol		CAGLGYNQQSIUGX-SDBHATRESA-N	name and CAS resolved independently to the same structure	1	2
KU 55933	587871-26-9	verified	CHEBI:228209	KU-55933		XRKYMMUGXMWDAO-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
KU14R	189224-48-4	verified	CHEBI:91671	2-(2-ethyl-3H-benzofuran-2-yl)-1H-imidazole		JCWVNNMJXQJVNC-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Kynurenic acid	492-27-3	verified	CHEBI:18344	kynurenic acid		HCZHHEIFKROPDY-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
L 655240	103253-15-2	verified	CHEBI:93563	3-[1-[(4-chlorophenyl)methyl]-5-fluoro-3-methyl-2-indolyl]-2,2-dimethylpropanoic acid		JLPYLHLUHJOPNL-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
L 670596	121083-05-4	verified	CHEBI:91930	2-[6,8-difluoro-9-[(4-methylsulfonylphenyl)methyl]-1,2,3,4-tetrahydrocarbazol-1-yl]acetic acid		GMJWAIMJHBTYPD-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
L-(-)-threo-3-Hydroxyaspartic acid	7298-99-9	verified	CHEBI:10696	(3S)-3-hydroxy-L-aspartic acid		YYLQUHNPNCGKJQ-LWMBPPNESA-N	name and CAS resolved independently to the same structure	1	2
L-161,982	147776-06-5	verified	CHEBI:92695	N-[2-[4-[[3-butyl-5-oxo-1-[2-(trifluoromethyl)phenyl]-1,2,4-triazol-4-yl]methyl]phenyl]phenyl]sulfonyl-3-methyl-2-thiophenecarboxamide		MMDNKTXNUZFVKD-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
L-165,041	79558-09-1	verified	CHEBI:94812	2-[4-[3-(4-acetyl-3-hydroxy-2-propylphenoxy)propoxy]phenoxy]acetic acid		HBBVCKCCQCQCTJ-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
L-168,049	191034-25-0	verified	CHEBI:92326	4-[3-(5-bromo-2-propoxyphenyl)-5-(4-chlorophenyl)-1H-pyrrol-2-yl]pyridine		HHBOWXZOLYQFNY-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
L-368,899 hydrochloride	160312-62-9	unverified			in_pubchem_not_in_chebi	GIUFQWFJHXXXEQ-PHSYAEQHSA-N	name and CAS resolved independently to the same structure	1	2
L-655,708	130477-52-0	unverified			in_pubchem_not_in_chebi	YKYOQIXTECBVBB-AWEZNQCLSA-N	name and CAS resolved independently to the same structure	1	2
L-689,560	139051-78-8	unverified			chebi_has_only_a_different_form	UCKHICKHGAOGAP-KGLIPLIRSA-N	name and CAS agree; PubChem stereo-duplicate, anchored on the defined side	1	2
L-693,403 maleate	207455-21-8	unverified			in_pubchem_not_in_chebi	WAZQVIBRRAMDNX-BTJKTKAUSA-N	name and CAS resolved independently to the same structure	1	2
L-701,252	151057-13-5	verified	CHEBI:92179	7-chloro-3-[cyclopropyl(oxo)methyl]-4-hydroxy-1H-quinolin-2-one		MXEFWCFPCLDOOG-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
L-701,324	142326-59-8	verified	CHEBI:92140	7-chloro-4-hydroxy-3-(3-phenoxyphenyl)-1H-quinolin-2-one		FLVRDMUHUXVRET-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
L-732,138	148451-96-1	unverified			in_pubchem_not_in_chebi	BYYQYXVAWXAYQC-IBGZPJMESA-N	name and CAS resolved independently to the same structure	1	2
L-733,060 hydrochloride	148687-76-7	unverified			in_pubchem_not_in_chebi	DYEUTIUITGHIEO-APTPAJQOSA-N	name and CAS resolved independently to the same structure	1	2
L-741,742 hydrochloride	874882-93-6	unverified			in_pubchem_not_in_chebi	HZRPUQURUAXOHB-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
L-745,870 trihydrochloride	866021-03-6	unverified			in_pubchem_not_in_chebi	KJSOYZLYCFYXFC-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
L-798,106	244101-02-8	verified	CHEBI:138743	L-798106		ODTKFNUPVBULRJ-NTCAYCPXSA-N	name and CAS resolved independently to the same structure	1	2
L-Alanine	56-41-7	verified	CHEBI:16977	L-alanine		QNAYBMKLOCPYGJ-REOHCLBHSA-N	name and CAS resolved independently to the same structure	1	2
L-AP5	79055-67-7	unverified			in_pubchem_not_in_chebi	VOROEQBFPPIACJ-BYPYZUCNSA-N	name and CAS resolved independently to the same structure	1	2
L-Arginine	74-79-3	verified	CHEBI:16467	L-arginine		ODKSFYDXXFIFQN-BYPYZUCNSA-N	name and CAS resolved independently to the same structure	1	2
L-Aspartic acid	56-84-8	verified	CHEBI:17053	L-aspartic acid		CKLJMWTZIZZHCS-REOHCLBHSA-N	name and CAS resolved independently to the same structure	1	2
L-Canavanine sulfate	2219-31-0	verified	CHEBI:78901	L-canavanine sulfate		MVIPJKVMOKFIEV-DFWYDOINSA-N	name and CAS resolved independently to the same structure	1	2
L-Cysteinesulfinic acid	1115-65-7	verified	CHEBI:16345	3-sulfino-L-alanine		ADVPTQAUNPRNPO-REOHCLBHSA-N	name and CAS resolved independently to the same structure	1	2
L-NAME hydrochloride	51298-62-5	verified	CHEBI:131182	Nγ-nitro-L-arginine methyl ester hydrochloride		QBNXAGZYLSRPJK-JEDNCBNOSA-N	name and CAS resolved independently to the same structure	1	2
L-NIO dihydrochloride	159190-44-0	unverified			in_pubchem_not_in_chebi	RYCMAAFECCXGHI-ILKKLZGPSA-N	name and CAS resolved independently to the same structure	1	2
L-NMMA acetate	53308-83-1	verified	CHEBI:749704	tilarginine acetate		IKPNWIGTWUZCKM-JEDNCBNOSA-N	name and CAS resolved independently to the same structure	1	2
L-NNA	2149-70-4	verified	CHEBI:27960	Nγ-nitro-L-arginine		MRAUNPAHJZDYCK-BYPYZUCNSA-N	name and CAS resolved independently to the same structure	1	2
L-Serine	56-45-1	verified	CHEBI:17115	L-serine		MTCFGRXMJLQNBG-REOHCLBHSA-N	name and CAS resolved independently to the same structure	1	2
L-trans-2,4-PDC	64769-66-0	unverified			in_pubchem_not_in_chebi	NRSBQSJHFYZIPH-DMTCNVIQSA-N	name and CAS resolved independently to the same structure	1	2
Lansoprazole	103577-45-3	verified	CHEBI:6375	lansoprazole		MJIHNNLFOKEZEW-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
LE 135	155877-83-1	verified	CHEBI:92124	4-(5,7,7,10,10-pentamethyl-8,9-dihydronaphtho[2,3-b][1,4]benzodiazepin-13-yl)benzoic acid		YZZAIQOVMHVWBS-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Leelamine hydrochloride	16496-99-4	unverified			in_pubchem_not_in_chebi	CVPQLGCAWUAYPF-WFBUOHSLSA-N	name and CAS resolved independently to the same structure	1	1
Leflunomide	75706-12-6	verified	CHEBI:6402	leflunomide		VHOGYURTWQBHIL-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Levcromakalim	94535-50-9	verified	CHEBI:6436	Levcromakalim		TVZCRIROJQEVOT-CABCVRRESA-N	name and CAS resolved independently to the same structure	1	2
LFM-A13	62004-35-7	verified	CHEBI:183517	LFM-A13		UVSVTDVJQAJIFG-VURMDHGXSA-N	name and CAS agree; PubChem stereo-duplicate, anchored on the defined side	1	2
Linopirdine dihydrochloride	113168-57-3	unverified			in_pubchem_not_in_chebi	ZEVVHCGTTNRYOY-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Lobeline hydrochloride	134-63-4	verified	CHEBI:234117	lobeline hydrochloride		MKMYPTLXLWOUSO-NFQNBQCWSA-N	name and CAS resolved independently to the same structure	1	2
Lonidamine	50264-69-2	verified	CHEBI:50138	lonidamine		WDRYRZXSPDWGEB-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Loperamide hydrochloride	34552-83-5	verified	CHEBI:6533	loperamide hydrochloride		PGYPOBZJRVSMDS-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Loratidine	79794-75-5	verified	CHEBI:6538	loratadine		JCCNYMKQOSZNPW-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Loreclezole hydrochloride	2227372-56-5	unverified			in_pubchem_not_in_chebi	AWKSVFLKVCVVFQ-MDZFRNKHSA-N	name and CAS resolved independently to the same structure	1	2
Lovastatin	75330-75-5	verified	CHEBI:40303	lovastatin		PCZOHLXUXFIOCF-BXMDZJJMSA-N	name and CAS resolved independently to the same structure	1	2
Luzindole	117946-91-5	verified	CHEBI:131788	luzindole		WVVXBPKOIZGVNS-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
LY 2183240	874902-19-9	verified	CHEBI:92670	LY-2183240		GZNIYOXWFCDBBJ-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
LY 225910	133040-77-4	verified	CHEBI:92592	2-[2-(5-bromo-1H-indol-3-yl)ethyl]-3-(3-propan-2-yloxyphenyl)-4-quinazolinone		KUECXUACQOYKNB-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
LY 235959	137433-06-8	unverified			in_pubchem_not_in_chebi	STIRHCNEGQQBOY-QEYWKRMJSA-N	name and CAS resolved independently to the same structure	1	2
LY 2365109 hydrochloride	1779796-27-8	unverified			in_pubchem_not_in_chebi	ZQVOAGQZHDAFRM-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
LY 255283	117690-79-6	verified	CHEBI:93616	1-[5-ethyl-2-hydroxy-4-[6-methyl-6-(2H-tetrazol-5-yl)heptoxy]phenyl]ethanone		WCGXJPFHTHQNJL-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
LY 288513	147523-65-7	verified	CHEBI:92436	(4S,5R)-N-(4-bromophenyl)-3-oxo-4,5-diphenyl-1-pyrazolidinecarboxamide		LMUQHXHWJWQXSD-PMACEKPBSA-N	name and CAS resolved independently to the same structure	1	2
LY 294002 hydrochloride	934389-88-5	unverified			in_pubchem_not_in_chebi	OQZQSRICUOWBLW-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
LY 320135	176977-56-3	verified	CHEBI:93387	4-[[6-methoxy-2-(4-methoxyphenyl)-3-benzofuranyl]-oxomethyl]benzonitrile		RYNSGDFWBJWWSZ-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
LY2835219	1231929-97-7	verified	CHEBI:233362	Abemaciclib		UZWDCWONPYILKI-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	2	2
Lylamine hydrochloride	16496-99-4	unverified			in_pubchem_not_in_chebi	CVPQLGCAWUAYPF-WFBUOHSLSA-N	name and CAS resolved independently to the same structure	2	2
m-3M3FBS	200933-14-8	verified	CHEBI:92167	2,4,6-trimethyl-N-[3-(trifluoromethyl)phenyl]benzenesulfonamide		ZIIUUSVHCHPIQD-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
m-Chlorophenylbiguanide hydrochloride	2113-05-5	unverified			in_pubchem_not_in_chebi	FOWAIJYHRWFTHR-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
MDL 11,939	107703-78-6	verified	CHEBI:91790	phenyl-[1-(2-phenylethyl)-4-piperidinyl]methanol		AXNGJCOYCMDPQG-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
MDL 72222	40796-97-2	unverified			in_pubchem_not_in_chebi	MNJNPLVXBISNSX-PBWFPOADSA-N	name and CAS resolved independently to the same structure	1	2
Medetomidine hydrochloride	86347-15-1	verified	CHEBI:48556	medetomidine hydrochloride		VPNGEIHDPSLNMU-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Meisoindigo	97207-47-1	unverified			in_pubchem_not_in_chebi	XZYXCQXTKOYHGK-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Melatonin	73-31-4	verified	CHEBI:16796	melatonin		DRLFMBDRBRZALE-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Melperone hydrochloride	1622-79-3	unverified			in_pubchem_not_in_chebi	MQHYXXIJLKFQGY-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Melphalan	148-82-3	verified	CHEBI:28876	melphalan		SGDBTWWWUNNDEQ-LBPRGKRZSA-N	name and CAS resolved independently to the same structure	2	2
Memantine hydrochloride	41100-52-1	verified	CHEBI:64323	memantine hydrochloride		LDDHMLJTFXJGPI-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Mepyramine maleate	59-33-6	verified	CHEBI:749355	pyrilamine maleate		JXYWFNAQESKDNC-BTJKTKAUSA-N	name and CAS resolved independently to the same structure	1	2
Metaphit	96316-00-6	unverified			in_pubchem_not_in_chebi	FGSGBQAQSPSRJK-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Metergoline	17692-51-2	verified	CHEBI:64216	metergoline		WZHJKEUHNJHDLS-QTGUNEKASA-N	name and CAS resolved independently to the same structure	1	2
Methiothepin maleate	19728-88-2	verified	CHEBI:64202	methiothepin maleate		IWDBEHWZGDSFHR-BTJKTKAUSA-N	name and CAS resolved independently to the same structure	1	2
METHYLBENZETHONIUM CHLORIDE	25155-18-4	unverified			no_structure_could_be_resolved		no_structure	1	2
Methyllycaconitine citrate	351344-10-0	unverified			chebi_entry_same_name_different_structure	XLTANAWLDBYGFU-VGISAMKQSA-N	the experimental team supplied the structure as SMILES	1	2
Methysergide maleate	129-49-7	verified	CHEBI:6894	Methysergide maleate		LWYXFDXUMVEZKS-ZVFOLQIPSA-N	name and CAS resolved independently to the same structure	1	2
Mevastatin	73573-88-3	verified	CHEBI:34848	mevastatin		AJLFOPYRIVGYMJ-INTXDZFKSA-N	name and CAS resolved independently to the same structure	1	2
Mexiletine hydrochloride	5370-01-4	verified	CHEBI:6917	mexiletine hydrochloride		NFEIBWMZVIVJLQ-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
MG 624	77257-42-2	verified	CHEBI:749733	stilonium iodide		RDTKUZXIHMTSJO-UEIGIMKUSA-M	name and CAS resolved independently to the same structure	1	2
Mianserin hydrochloride	21535-47-7	verified	CHEBI:31843	mianserin hydrochloride		YNPFMWCWRVTGKJ-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Mibefradil dihydrochloride	116666-63-8	verified	CHEBI:749859	mibefradil dihydrochloride		MTJLQTFHJIHXIX-GDUXWEAWSA-N	name and CAS resolved independently to the same structure	1	2
Mifepristone	84371-65-3	verified	CHEBI:50692	mifepristone		VKHAHZOOUSRJNA-GCNJZUOMSA-N	name and CAS resolved independently to the same structure	1	2
Milbemycin Oxime	129496-10-2	unverified			in_pubchem_not_in_chebi	CKVMAPHTVCTEMM-ALPQRHTBSA-N	name and CAS resolved independently to the same structure	1	2
Minoxidil	38304-91-5	verified	CHEBI:92128	3-hydroxy-2-imino-6-(1-piperidinyl)-4-pyrimidinamine		ZIMGGGWCDYVHOY-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
MIRA-1	72835-26-8	unverified			in_pubchem_not_in_chebi	YXEWPGYLMHXLPS-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Mirtazepine	85650-52-8	verified	CHEBI:6950	mirtazapine		RONZAEMNMFQXRA-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Mitoxantrone (Mitozantrone; NSC 301739)	65271-80-9	verified	CHEBI:50729	mitoxantrone		KKZJGLLVHKMTCM-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
MK 212 hydrochloride	61655-58-1	unverified			in_pubchem_not_in_chebi	PFIZGLUIYAZQFU-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
MK 886	118414-82-7	verified	CHEBI:75390	3-[3-(tert-butylsulfanyl)-1-(4-chlorobenzyl)-5-(propan-2-yl)-1H-indol-2-yl]-2,2-dimethylpropanoic acid		QAOAOVKBIIKRNL-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
ML 9 hydrochloride	105637-50-1	unverified			in_pubchem_not_in_chebi	ZNRYCIVTNLZOGI-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
MM 77 dihydrochloride	159187-70-9	unverified			in_pubchem_not_in_chebi	ZYCVVOZXHNDRCO-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
MNI-caged-L-glutamate	295325-62-1	unverified			in_pubchem_not_in_chebi	GXIDBZKXGUNITQ-VIFPVBQESA-N	name and CAS resolved independently to the same structure	1	2
Moexipril hydrochloride	82586-52-5	verified	CHEBI:6961	Moexipril hydrochloride		JXRAXHBVZQZSIC-JKVLGAQCSA-N	name and CAS resolved independently to the same structure	1	2
Monastrol	254753-54-3	verified	CHEBI:75384	(S)-monastrol		LOBCDGHHHHGHFA-LBPRGKRZSA-N	name and CAS resolved independently to the same structure	1	2
Moxidectin	113507-06-5	verified	CHEBI:183811	Moxidectin		YZBLFMPOMVTDJY-LSGXYNIPSA-N	name and CAS resolved independently to the same structure	2	2
Moxonidine hydrochloride	75536-04-8	unverified			in_pubchem_not_in_chebi	ZZPAWQYZQVUVHX-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
MPDC	159262-32-5	unverified			in_pubchem_not_in_chebi	UNNFLFDQCHJXPI-QTBDOELSSA-N	name and CAS resolved independently to the same structure	1	2
MRS 1220	183721-15-5	verified	CHEBI:92667	N-[9-chloro-2-(2-furanyl)-[1,2,4]triazolo[1,5-c]quinazolin-5-yl]-2-phenylacetamide		TWWFAXQOKNBUCR-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
MRS 1334	192053-05-7	unverified			identity_single_source_only	QFLOJAMZLQXHFS-UHFFFAOYSA-N	single_source	1	2
MRS 1706	264622-53-9	unverified			in_pubchem_not_in_chebi	ZKUCFFYOQOJLGT-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
MRS 1845	544478-19-5	unverified			in_pubchem_not_in_chebi	BITHABUTZRAUGT-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
MRS 2179 tetrasodium salt	1454889-37-2	unverified			in_pubchem_not_in_chebi	XLPQPYQWGFCKEY-IDAKGYGSSA-J	name and CAS resolved independently to the same structure	1	2
MRS 2219	14141-47-0	unverified			in_pubchem_not_in_chebi	KCAJHODRYGNBSX-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
MRS 3777 hemioxalate	1186195-57-2	unverified			in_pubchem_not_in_chebi	ICOKMZZMQHZKGX-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Muscimol	2763-96-4	verified	CHEBI:7035	muscimol		ZJQHPWUVQPJPQT-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
MY-5445	78351-75-4	verified	CHEBI:93577	N-(3-chlorophenyl)-4-phenyl-1-phthalazinamine		CEHQLKSLMFIHBF-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
N ?-Methylhistamine dihydrochloride	16503-22-3	unverified			in_pubchem_not_in_chebi	AYUQICXJAMPXPF-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	2	2
N-[2-(Acetoxy)ethyl]-3-pyridinecarboxamide	83440-03-3	verified	CHEBI:92313	acetic acid 2-[[oxo(3-pyridinyl)methyl]amino]ethyl ester		JQICNNKLTFYSLS-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
N-[2-(Piperidinylamino)ethyl]-4-iodobenzamide	155054-42-5	verified	CHEBI:93391	4-iodo-N-[2-(1-piperidinyl)ethyl]benzamide		WCMWVYQHPUQKHW-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
N-Acetyl-L-leucyl-L-leucyl-L-methional	145757-50-2	unverified			identity_single_source_only	WYOGLXGZDPVOOI-YVZMLIKISA-N	single_source	1	2
N-Acetyltryptamine	1016-47-3	verified	CHEBI:55515	N-acetyltryptamine		NVUGEQAEQJTCIX-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
N-Benzylnaltrindole hydrochloride	1206487-81-1	unverified			in_pubchem_not_in_chebi	KDEBSUYWJUBPCB-ZHYTUUPESA-N	name and CAS resolved independently to the same structure	1	2
N-Desmethylclozapine	6104-71-8	verified	CHEBI:64050	N-desmethylclozapine		JNNOSTQEZICQQP-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
N-Methylquipazine dimaleate	171205-17-7	verified	CHEBI:64162	N-methylquipazine dimaleate		HNSITEGFVDCKMF-SPIKMXEPSA-N	name and CAS resolved independently to the same structure	1	2
N1,N12-Diethylspermine tetrahydrochloride	113812-15-0	unverified			identity_single_source_only	SCYOBNRPMHJGLB-UHFFFAOYSA-N	single_source	1	2
N20C hydrochloride	1177583-87-7	unverified			in_pubchem_not_in_chebi	JCJDLPUASJEVRN-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
N6-Cyclopentyladenosine	41552-82-3	unverified			in_pubchem_not_in_chebi	SQMWSBKSHWARHU-SDBHATRESA-N	name and CAS resolved independently to the same structure	1	2
Nafadotride	149649-22-9	verified	CHEBI:64191	nafadotride		IDZASIQMRGPBCQ-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Naloxonazine dihydrochloride	880759-65-9	unverified			in_pubchem_not_in_chebi	VIAIHLLKDJKEKM-HOQHGZPCSA-N	name and CAS agree; PubChem stereo-duplicate, anchored on the defined side	1	2
Naloxone benzoylhydrazone	119630-94-3	unverified			in_pubchem_not_in_chebi	AKXCFAYOTIEFOH-XTNAHFASSA-N	name and CAS resolved independently to the same structure	1	2
Naloxone hydrochloride	357-08-4	verified	CHEBI:31892	naloxone hydrochloride		RGPDIGOSVORSAK-STHHAXOLSA-N	name and CAS resolved independently to the same structure	1	2
Naltriben mesylate	122517-78-6	unverified			in_pubchem_not_in_chebi	XRRFZOCDAWPIBB-IDRHMUJXSA-N	name and CAS resolved independently to the same structure	1	2
Naltrindole hydrochloride	111469-81-9	unverified			in_pubchem_not_in_chebi	KNJKRQXCFJCQHC-IDRHMUJXSA-N	name and CAS resolved independently to the same structure	1	2
Naproxen sodium	26159-34-2	verified	CHEBI:7477	naproxen sodium		CDBRNDSHEYLDJV-FVGYRXGTSA-M	name and CAS resolved independently to the same structure	1	2
NCS-382	520505-01-5	unverified			in_pubchem_not_in_chebi	UADPGHINQMWEAG-CSKARUKUSA-N	name and CAS resolved independently to the same structure	1	2
Nebivolol hydrochloride	152520-56-4	unverified			cas_and_name_are_different_stereoisomers		stereoisomer_disagreement	1	2
NECA	35920-39-9	verified	CHEBI:73284	N-ethyl-5'-carboxamidoadenosine		JADDQZYHOWSFJD-FLNNQWSLSA-N	name and CAS resolved independently to the same structure	1	2
Necrostatin-1	4311-88-0	verified	CHEBI:91658	5-(1H-indol-3-ylmethyl)-3-methyl-2-sulfanylidene-4-imidazolidinone		TXUWMXQFNYDOEZ-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Nefazodone hydrochloride	82752-99-6	verified	CHEBI:7495	nefazodone hydrochloride		DYCKFEBIOUQECE-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Nelarabine (506U78; GW 506U78; Nelzarabine)	121032-29-9	verified	CHEBI:63612	nelarabine		IXOXBSCIXZEQEQ-UHTZMRCNSA-N	name and CAS resolved independently to the same structure	1	2
Nemonapride	75272-39-8	verified	CHEBI:64219	(2R,3R)-nemonapride		KRVOJOCLBAAKSJ-RDTXWAMCSA-N	name and CAS resolved independently to the same structure	1	2
NF 023	104869-31-0	unverified			in_pubchem_not_in_chebi	FMQURVHYTBGYSQ-UHFFFAOYSA-H	name and CAS resolved independently to the same structure	1	2
NF 279	202983-32-2	unverified			in_pubchem_not_in_chebi	RJMCMLNRWDKUDB-UHFFFAOYSA-H	the experimental team confirmed the CAS / catalogue product	1	2
NGB 2904	189061-11-8	unverified			chebi_has_only_a_different_form	PFIWYJNBKGCVFM-UHFFFAOYSA-N	the experimental team confirmed the CAS / catalogue product	1	2
NH 125	278603-08-0	unverified			in_pubchem_not_in_chebi	RVWOHCBHAGBLLT-UHFFFAOYSA-M	name and CAS resolved independently to the same structure	1	2
Nicergoline	27848-84-6	verified	CHEBI:31902	Nicergoline		YSEXMKHXIOCEJA-FVFQAYNVSA-N	name and CAS resolved independently to the same structure	1	2
Nicorandil	65141-46-0	verified	CHEBI:31905	nicorandil		LBHIOVVIQHSOQN-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Nifedipine	21829-25-4	verified	CHEBI:7565	nifedipine		HYIMSNHJOBLJNT-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Nimbulide		unverified			no_structure_could_be_resolved		no_structure	1	2
Nimesulide	51803-78-2	verified	CHEBI:44445	nimesulide		HYWYRSMBCFDLJT-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
